id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
260	0	15025	235	14984	MOD	skipped 0 overlaps; used 53 overlaps
261	0	1860	565	1322	DEL	skipped 0 overlaps; used 11 overlaps
262	0	3366	68	3356	MOD	skipped 0 overlaps; used 14 overlaps
263	0	6324	95	6324	MOD	skipped 0 overlaps; used 40 overlaps
264	0	20436	85	20406	MOD	skipped 0 overlaps; used 230 overlaps
265	0	3137	90	3136	MOD	skipped 0 overlaps; used 22 overlaps
266	0	1755	11	1741	MOD	skipped 0 overlaps; used 13 overlaps
267	0	1752	18	1745	MOD	skipped 0 overlaps; used 13 overlaps
268	0	16972	21	16960	MOD	skipped 0 overlaps; used 56 overlaps
269	0	1695	0	1694	MOD	skipped 0 overlaps; used 16 overlaps
270	0	2639	0	2628	MOD	skipped 0 overlaps; used 18 overlaps
271	0	8678	0	8644	MOD	skipped 0 overlaps; used 19 overlaps
272	0	10960	13	10947	MOD	skipped 0 overlaps; used 33 overlaps
273	0	5150	191	5131	MOD	skipped 0 overlaps; used 118 overlaps
274	0	25793	204	25793	MOD	skipped 0 overlaps; used 74 overlaps
275	0	2059	277	2059	MOD	skipped 0 overlaps; used 8 overlaps
276	0	3121	324	2045	MOD	skipped 0 overlaps; used 18 overlaps
277	0	3846	2	3845	MOD	skipped 0 overlaps; used 21 overlaps
278	0	3602	328	3598	MOD	skipped 0 overlaps; used 15 overlaps
279	0	11395	0	10755	MOD	skipped 0 overlaps; used 28 overlaps
280	0	11572	364	11572	MOD	skipped 0 overlaps; used 32 overlaps
281	0	3330	82	2595	MOD	skipped 0 overlaps; used 13 overlaps
282	0	8615	56	7933	MOD	skipped 0 overlaps; used 18 overlaps
283	0	3778	0	3767	MOD	skipped 0 overlaps; used 20 overlaps
284	0	9155	257	9155	MOD	skipped 0 overlaps; used 145 overlaps
285	0	23092	1081	10786	MOD	skipped 0 overlaps; used 178 overlaps
286	0	7614	14	7613	MOD	skipped 0 overlaps; used 44 overlaps
287	0	1241	0	1241	NOV
288	0	29072	238	29072	MOD	skipped 0 overlaps; used 76 overlaps
289	0	17560	144	17559	MOD	skipped 0 overlaps; used 33 overlaps
290	0	3239	32	3223	MOD	skipped 0 overlaps; used 22 overlaps
291	0	10461	173	10457	MOD	skipped 0 overlaps; used 35 overlaps
292	0	22970	237	22939	MOD	skipped 0 overlaps; used 52 overlaps
293	0	1114	0	1114	NOV
294	0	1815	7	1791	MOD	skipped 0 overlaps; used 20 overlaps
295	0	1799	10	1745	MOD	skipped 0 overlaps; used 20 overlaps
296	0	4171	222	4171	MOD	skipped 0 overlaps; used 25 overlaps
297	0	18505	220	18394	MOD	skipped 0 overlaps; used 187 overlaps
298	0	2836	11	2835	MOD	skipped 0 overlaps; used 25 overlaps
299	0	4135	0	4135	NOV
300	0	20650	241	20620	MOD	skipped 0 overlaps; used 44 overlaps
301	0	22697	54	22586	MOD	skipped 0 overlaps; used 58 overlaps
302	0	7391	3	7390	MOD	skipped 0 overlaps; used 37 overlaps
303	0	3590	28	3298	MOD	skipped 0 overlaps; used 26 overlaps
304	0	3558	123	2901	MOD	skipped 0 overlaps; used 21 overlaps
305	0	4772	337	4771	MOD	skipped 0 overlaps; used 22 overlaps
306	0	0	0	0	NOV
307	0	22091	58	22063	MOD	skipped 0 overlaps; used 46 overlaps
308	0	3082	3	3081	MOD	skipped 0 overlaps; used 21 overlaps
309	0	3076	0	3060	MOD	skipped 0 overlaps; used 21 overlaps
310	0	18778	111	18755	MOD	skipped 0 overlaps; used 51 overlaps
311	0	19382	708	19361	MOD	skipped 0 overlaps; used 43 overlaps
312	0	2150	0	2145	MOD	skipped 0 overlaps; used 24 overlaps
313	0	8143	0	8142	MOD	skipped 0 overlaps; used 35 overlaps
314	0	7950	106	7943	MOD	skipped 0 overlaps; used 28 overlaps
315	0	20543	4274	9586	MOD	skipped 0 overlaps; used 22 overlaps
316	0	1351	95	1350	MOD	skipped 0 overlaps; used 18 overlaps
317	0	6245	258	6236	MOD	skipped 0 overlaps; used 27 overlaps
